timestamp,XBTUSDM,XBTUSDM-XBTMU20_arb,XBTUSDM-XBTMM20_arb
2020-05-24 00:00:00,9190.5,-89.0,-22.0
2020-05-24 00:01:00,9184.5,-87.5,-29.0
2020-05-24 00:02:00,9187.5,-93.5,-26.0
2020-05-24 00:03:00,9196.5,-90.5,-26.5
2020-05-24 00:04:00,9195.5,-91.5,-27.5
2020-05-24 00:05:00,9202.5,-91.0,-24.5
2020-05-24 00:06:00,9202.5,-89.5,-24.5
2020-05-24 00:07:00,9198.5,-90.0,-28.5
2020-05-24 00:08:00,9195.5,-90.5,-31.5
2020-05-24 00:09:00,9184.5,-89.5,-30.0
2020-05-24 00:10:00,9182.5,-91.5,-32.0
2020-05-24 00:11:00,9175.5,-94.5,-34.5
2020-05-24 00:12:00,9171.5,-93.5,-35.0
2020-05-24 00:13:00,9163.5,-89.0,-30.5
2020-05-24 00:14:00,9154.5,-83.5,-23.5
2020-05-24 00:15:00,9151.5,-89.5,-27.5
2020-05-24 00:16:00,9150.5,-84.5,-22.0
2020-05-24 00:17:00,9156.5,-85.5,-23.0
2020-05-24 00:18:00,9156.5,-83.5,-23.0
2020-05-24 00:19:00,9145.5,-88.5,-25.0
2020-05-24 00:20:00,9145.5,-87.0,-24.0
2020-05-24 00:21:00,9146.5,-84.0,-23.5
2020-05-24 00:22:00,9151.5,-82.0,-23.0
2020-05-24 00:23:00,9151.5,-82.0,-24.0
2020-05-24 00:24:00,9151.5,-82.0,-24.0
2020-05-24 00:25:00,9148.5,-85.0,-26.0
2020-05-24 00:26:00,9142.5,-83.5,-26.0
2020-05-24 00:27:00,9146.5,-80.5,-22.0
2020-05-24 00:28:00,9136.5,-82.5,-24.0
2020-05-24 00:29:00,9142.5,-79.5,-20.5
2020-05-24 00:30:00,9136.5,-79.0,-21.5
2020-05-24 00:31:00,9155.5,-82.5,-22.0
2020-05-24 00:32:00,9152.5,-80.5,-23.5
2020-05-24 00:33:00,9152.5,-80.0,-22.0
2020-05-24 00:34:00,9147.5,-81.0,-22.5
2020-05-24 00:35:00,9155.5,-80.5,-22.0
2020-05-24 00:36:00,9161.5,-81.5,-20.0
2020-05-24 00:37:00,9169.5,-79.0,-19.5
2020-05-24 00:38:00,9161.5,-78.5,-23.5
2020-05-24 00:39:00,9164.5,-77.5,-20.5
2020-05-24 00:40:00,9161.5,-78.5,-23.5
2020-05-24 00:41:00,9161.5,-79.5,-23.5
2020-05-24 00:42:00,9166.5,-77.5,-20.5
2020-05-24 00:43:00,9166.5,-78.0,-20.5
2020-05-24 00:44:00,9147.5,-80.0,-24.5
2020-05-24 00:45:00,9156.5,-76.5,-15.5
2020-05-24 00:46:00,9159.5,-78.5,-19.0
2020-05-24 00:47:00,9165.5,-79.5,-19.5
2020-05-24 00:48:00,9169.5,-83.0,-21.0
2020-05-24 00:49:00,9169.5,-85.5,-24.0
2020-05-24 00:50:00,9169.5,-83.5,-22.5
2020-05-24 00:51:00,9171.5,-81.5,-21.0
2020-05-24 00:52:00,9165.5,-82.0,-22.5
2020-05-24 00:53:00,9170.5,-79.5,-18.5
2020-05-24 00:54:00,9168.5,-79.5,-22.5
2020-05-24 00:55:00,9165.5,-80.5,-25.5
2020-05-24 00:56:00,9168.5,-80.5,-22.5
2020-05-24 00:57:00,9167.5,-80.5,-22.0
2020-05-24 00:58:00,9165.5,-81.0,-22.5
2020-05-24 00:59:00,9170.5,-81.5,-25.0
2020-05-24 01:00:00,9168.5,-80.0,-23.0
2020-05-24 01:01:00,9170.5,-79.5,-23.5
2020-05-24 01:02:00,9170.5,-85.5,-24.5
2020-05-24 01:03:00,9184.5,-81.5,-25.5
2020-05-24 01:04:00,9184.5,-80.0,-25.5
2020-05-24 01:05:00,9184.5,-79.5,-25.5
2020-05-24 01:06:00,9184.5,-80.0,-25.5
2020-05-24 01:07:00,9190.5,-80.0,-22.5
2020-05-24 01:08:00,9190.5,-83.0,-24.0
2020-05-24 01:09:00,9192.5,-80.5,-24.5
2020-05-24 01:10:00,9184.5,-79.0,-24.5
2020-05-24 01:11:00,9181.5,-82.0,-24.0
2020-05-24 01:12:00,9183.5,-78.5,-22.0
2020-05-24 01:13:00,9182.5,-81.0,-23.0
2020-05-24 01:14:00,9182.5,-78.5,-23.0
2020-05-24 01:15:00,9180.5,-80.0,-25.0
2020-05-24 01:16:00,9182.5,-81.0,-23.0
2020-05-24 01:17:00,9184.5,-81.5,-24.0
2020-05-24 01:18:00,9189.5,-83.0,-24.0
2020-05-24 01:19:00,9185.5,-83.5,-28.0
2020-05-24 01:20:00,9180.5,-82.5,-25.5
2020-05-24 01:21:00,9176.5,-83.5,-26.5
2020-05-24 01:22:00,9172.5,-84.0,-25.0
2020-05-24 01:23:00,9169.5,-81.0,-25.5
2020-05-24 01:24:00,9169.5,-81.0,-25.5
2020-05-24 01:25:00,9172.5,-79.5,-23.0
2020-05-24 01:26:00,9166.5,-81.0,-22.5
2020-05-24 01:27:00,9161.5,-84.5,-25.5
2020-05-24 01:28:00,9160.5,-83.5,-24.0
2020-05-24 01:29:00,9160.5,-80.0,-24.0
2020-05-24 01:30:00,9154.5,-80.0,-23.5
2020-05-24 01:31:00,9161.5,-82.0,-19.5
2020-05-24 01:32:00,9167.5,-81.5,-23.0
2020-05-24 01:33:00,9164.5,-81.5,-26.0
2020-05-24 01:34:00,9164.5,-81.5,-26.0
2020-05-24 01:35:00,9168.5,-83.5,-24.0
2020-05-24 01:36:00,9166.5,-82.5,-26.0
2020-05-24 01:37:00,9160.5,-81.5,-26.0
2020-05-24 01:38:00,9162.5,-82.0,-27.0
2020-05-24 01:39:00,9164.5,-82.0,-25.0
2020-05-24 01:40:00,9167.5,-79.5,-22.0
2020-05-24 01:41:00,9167.5,-82.5,-22.0
2020-05-24 01:42:00,9170.5,-81.5,-22.5
2020-05-24 01:43:00,9167.5,-80.0,-25.0
2020-05-24 01:44:00,9167.5,-82.5,-25.0
2020-05-24 01:45:00,9167.5,-78.5,-22.0
2020-05-24 01:46:00,9174.5,-79.5,-22.5
2020-05-24 01:47:00,9175.5,-81.0,-22.5
2020-05-24 01:48:00,9174.5,-78.5,-21.0
2020-05-24 01:49:00,9174.5,-78.0,-21.0
2020-05-24 01:50:00,9174.5,-78.0,-21.0
2020-05-24 01:51:00,9174.5,-78.0,-21.0
2020-05-24 01:52:00,9174.5,-78.5,-21.0
2020-05-24 01:53:00,9177.5,-80.5,-21.5
2020-05-24 01:54:00,9175.5,-78.5,-22.0
2020-05-24 01:55:00,9175.5,-81.0,-22.0
2020-05-24 01:56:00,9175.5,-78.5,-22.0
2020-05-24 01:57:00,9173.5,-79.0,-19.5
2020-05-24 01:58:00,9171.5,-79.5,-21.5
2020-05-24 01:59:00,9173.5,-79.5,-21.0
2020-05-24 02:00:00,9173.5,-80.5,-21.0
2020-05-24 02:01:00,9173.5,-77.5,-21.0
2020-05-24 02:02:00,9182.5,-79.5,-21.5
2020-05-24 02:03:00,9183.5,-80.5,-20.5
2020-05-24 02:04:00,9181.5,-80.5,-23.5
2020-05-24 02:05:00,9181.5,-82.0,-23.5
2020-05-24 02:06:00,9183.5,-81.5,-22.0
2020-05-24 02:07:00,9183.5,-81.5,-22.0
2020-05-24 02:08:00,9196.5,-81.0,-25.0
2020-05-24 02:09:00,9196.5,-82.0,-25.0
2020-05-24 02:10:00,9196.5,-79.0,-22.0
2020-05-24 02:11:00,9191.5,-80.5,-25.5
2020-05-24 02:12:00,9187.5,-78.5,-23.5
2020-05-24 02:13:00,9157.5,-79.5,-25.0
2020-05-24 02:14:00,9163.5,-81.0,-20.0
2020-05-24 02:15:00,9164.5,-76.5,-17.5
2020-05-24 02:16:00,9156.5,-77.5,-17.5
2020-05-24 02:17:00,9156.5,-77.5,-18.0
2020-05-24 02:18:00,9165.5,-78.5,-15.5
2020-05-24 02:19:00,9157.5,-77.5,-18.5
2020-05-24 02:20:00,9158.5,-78.5,-17.5
2020-05-24 02:21:00,9165.5,-80.0,-20.0
2020-05-24 02:22:00,9166.5,-78.0,-22.0
2020-05-24 02:23:00,9166.5,-77.5,-19.0
2020-05-24 02:24:00,9160.5,-74.0,-20.0
2020-05-24 02:25:00,9153.5,-77.5,-19.0
2020-05-24 02:26:00,9158.5,-77.5,-14.0
2020-05-24 02:27:00,9158.5,-77.5,-14.0
2020-05-24 02:28:00,9158.5,-77.5,-14.0
2020-05-24 02:29:00,9162.5,-75.5,-12.0
2020-05-24 02:30:00,9158.5,-73.5,-13.0
2020-05-24 02:31:00,9149.5,-77.0,-15.5
2020-05-24 02:32:00,9151.5,-74.5,-13.5
2020-05-24 02:33:00,9151.5,-75.0,-13.5
2020-05-24 02:34:00,9162.5,-73.0,-12.0
2020-05-24 02:35:00,9163.5,-73.0,-11.0
2020-05-24 02:36:00,9163.5,-74.5,-11.0
2020-05-24 02:37:00,9164.5,-75.0,-13.0
2020-05-24 02:38:00,9164.5,-75.5,-14.0
2020-05-24 02:39:00,9164.5,-79.0,-14.0
2020-05-24 02:40:00,9164.5,-79.0,-14.0
2020-05-24 02:41:00,9163.5,-76.5,-15.0
2020-05-24 02:42:00,9163.5,-76.0,-15.0
2020-05-24 02:43:00,9163.5,-75.5,-15.0
2020-05-24 02:44:00,9168.5,-73.5,-11.5
2020-05-24 02:45:00,9162.5,-76.5,-17.5
2020-05-24 02:46:00,9159.5,-75.0,-14.5
2020-05-24 02:47:00,9152.5,-74.0,-15.5
2020-05-24 02:48:00,9156.5,-75.5,-13.5
2020-05-24 02:49:00,9156.5,-73.0,-13.5
2020-05-24 02:50:00,9156.5,-74.0,-13.5
